,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_Pmax,sim_alpha,sim_time,sim_type,sim_u3,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tn0.00,0.05,0.05,0.025,0.025,Tn0.00,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,0.0,0.0,0.0015,beam,36.0,0.0,2.1e+11,Tn0.00.pkl
Tn0.10,0.05,0.05,0.025,0.025,Tn0.10,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,115.615807251,0.1,0.0015,beam,36.0,0.0,2.1e+11,Tn0.10.pkl
Tn0.20,0.05,0.05,0.025,0.025,Tn0.20,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,231.231614501,0.2,0.0015,beam,36.0,0.0,2.1e+11,Tn0.20.pkl
Tn0.30,0.05,0.05,0.025,0.025,Tn0.30,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,346.847421752,0.3,0.0015,beam,36.0,0.0,2.1e+11,Tn0.30.pkl
Tn0.40,0.05,0.05,0.025,0.025,Tn0.40,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,462.463229002,0.4,0.0015,beam,36.0,0.0,2.1e+11,Tn0.40.pkl
Tn0.50,0.05,0.05,0.025,0.025,Tn0.50,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,578.079036253,0.5,0.0015,beam,36.0,0.0,2.1e+11,Tn0.50.pkl
Tn0.60,0.05,0.05,0.025,0.025,Tn0.60,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,693.694843503,0.6,0.0015,beam,36.0,0.0,2.1e+11,Tn0.60.pkl
Tn0.70,0.05,0.05,0.025,0.025,Tn0.70,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,809.310650754,0.7,0.0015,beam,36.0,0.0,2.1e+11,Tn0.70.pkl
Tn0.80,0.05,0.05,0.025,0.025,Tn0.80,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,924.926458004,0.8,0.0015,beam,36.0,0.0,2.1e+11,Tn0.80.pkl
Tn0.90,0.05,0.05,0.025,0.025,Tn0.90,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,1040.54226525,0.9,0.0015,beam,36.0,0.0,2.1e+11,Tn0.90.pkl
Tn0.95,0.05,0.05,0.025,0.025,Tn0.95,3.84615384615e-10,2.17391304348e-09,2.17391304348e-09,0.0,0.0001,,0.315,26000000000.0,69000000000.0,500.0,1000.0,1.0,riks,0.055,1098.35016888,0.95,0.0015,beam,36.0,0.0,2.1e+11,Tn0.95.pkl
